Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PYPL,"Paypal Holdings",80.03,-0.52,-0.65%,81.84,79.44,9332601,10/09/18
QCOM,"Qualcomm Inc",70.13,-0.8,-1.13%,70.96,70.09,10329200,10/09/18
QRVO,"Qorvo Inc",74.34,1.36,+1.86%,74.66,72.67,1108600,10/09/18
RCL,"Royal Caribbean Cruises Ltd",123.09,-1.37,-1.10%,124.67,122.67,1042500,10/09/18
RE,"Everest Re Group",229.51,2.31,+1.02%,229.77,226.38,253400,10/09/18
REG,"Regency Centers Corp",64.05,-0.21,-0.33%,64.41,63.57,1593000,10/09/18
REGN,"Regeneron Pharmaceutical",392.53,-1.62,-0.41%,396.64,388.68,421900,10/09/18
RF,"Regions Financial Corp",18.59,-0.1,-0.54%,18.73,18.49,8757101,10/09/18
RHI,"Robert Half International Inc",68.08,0.11,+0.16%,68.36,67.4,1208600,10/09/18
RHT,"Red Hat Inc",122.78,-2.22,-1.78%,126.13,121.44,2666900,10/09/18
RJF,"Raymond James Financial",94.82,0.55,+0.58%,95.21,93.5,919500,10/09/18
RL,"Ralph Lauren Corp",127.74,-0.28,-0.22%,129.35,127.06,570200,10/09/18
RMD,"Resmed Inc",106.3,-1.57,-1.46%,108.19,106.1,620300,10/09/18
ROK,"Rockwell Automation Inc",183.38,-1.71,-0.92%,184.76,181.95,985400,10/09/18
ROL,"Rollins Inc",59.11,0.18,+0.31%,59.73,58.89,809100,10/09/18
ROP,"Roper Industries",289.3,-2.89,-0.99%,292.02,288.31,358700,10/09/18
ROST,"Ross Stores Inc",97.15,1.27,+1.32%,98.06,95.68,2465400,10/09/18
RSG,"Republic Services",72.85,0,0.00%,73.3,72.55,1594000,10/09/18
RTN,"Raytheon Company",204.59,-2.23,-1.08%,206.81,204.5,1371200,10/09/18
SBAC,"SBA Communications",155.84,0.94,+0.61%,156.33,154.13,441600,10/09/18
SBUX,"Starbucks Corp",57.71,1.17,+2.07%,59.7,56.81,24855602,10/09/18
SCG,"Scana Corp",39.91,0.65,+1.66%,40.34,39.41,1268000,10/09/18
SCHW,"The Charles Schwab Corp",52.17,0.5,+0.97%,52.35,51.33,5211800,10/09/18
